nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status,oyentes,reproducciones,engagement_por_oyente,generos
,Colombia Tours Empresa De Turismo,alonsotierrasymares@hotmail.com,+57 300 7042153,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Mochi-Llín Company,mochillinhouse@gmail.com,+57 300 5173610,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Avior Airlines,gerentebog@avior.com.ve,+57-4-???,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Adrenaline Addict - Motorbike rental,adrenalineaddictscolombia@gmail.com,+57 301 6686092,https://www.instagram.com/adrenalineaddictsmoto/,,Medellin,Colombia,agencia_viajes,empresas,https://www.adrenalineaddicts.co,openstreetmap,2026-09-17,pendiente,,,,
,Centro de Salud El Salvador,rodrigomontoya08@hotmail.com,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,El Dorado Tours,,,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,V.I.T. Tours Medellín,,,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,BeColombia,,,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Viajes Geo Tours,,,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,"Agencia de Viajes, Servi Unidas",,+57 310 8452462,,,Medellin,Colombia,agencia_viajes,empresas,https://serviunidas.com.co/,openstreetmap,2026-09-17,pendiente,,,,
,Arcadia Viajes Medellín,,+57 310 7709309,,,Medellin,Colombia,agencia_viajes,empresas,https://arcadia-viajes.com/,openstreetmap,2026-09-17,pendiente,,,,
,Coltours,,,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Logitur,,,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Sag Comuna 13,,,https://help.instagram.com/,,Medellin,Colombia,agencia_viajes,empresas,https://www.instagram.com/sagtourmedellin/?igsh=MW5ubW1hMzB1ZDd1cg%3D%3D#,openstreetmap,2026-09-17,pendiente,,,,
,Viajes Bon Air,,,,,Medellin,Colombia,agencia_viajes,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Honda,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Autolarte,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Hyundai,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,El Roble Motor,,+57 604 3549500,,,Medellin,Colombia,autos_alta_gama,empresas,https://roblemotor.com/,openstreetmap,2026-09-17,pendiente,,,,
,El roble motor,,+57 604 3211111,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Praco Didacol,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Kia Motors,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Viratto,,+57 311 7648209,,,Medellin,Colombia,autos_alta_gama,empresas,https://www.viratto.com/,openstreetmap,2026-09-17,pendiente,,,,
,Montoautos,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Consecionario  Los Gomez,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Consecionario  CARLAURELES,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Taller Automotris COORDINAUTOS,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Los Autos Multimarcas,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Caribe Motor,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Rivana,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Andar Chevrolet Laureles,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Renault Casa Britanica,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Andar,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Vehículos del Camino,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Auto Bulerias,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Toyota Autoamérica,,,,,Medellin,Colombia,autos_alta_gama,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Serad,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Centro de Salud Loreto,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Saludcoop Laureles,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Centro de Salud - Pinares de Oriente,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,IPS Universitaria - Sede Prado,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,hermanitas hospitalarias del sagrado corazón,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Remy ips Medellín,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,Coomeva EPS,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
,OFEX,,,,,Medellin,Colombia,dermatologo,empresas,,openstreetmap,2026-09-17,pendiente,,,,
