nombre,empresa,email,telefono,whatsapp,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,direccion,gmaps_id,fecha,status
,Merlin Producciones,info@merlinproducciones.co,(604) 4160860,,https://instagram.com/merlinprodu,,Medellin,Colombia,manager_musical,music,http://www.merlinproducciones.co/,google_maps,"Cq. 73A #34A-122, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",ChIJod7CQ6IpRI4RJrKCGVlcwSM,2026-09-18,pendiente
,Mercado Artistas®,comercial@mercadoartistas.com,01-800-0160000,,https://www.instagram.com/mercadoartistas/?utm_source=Pagina_Web&utm_medium=WebSite_Instagram&utm_campaign=Perfiles_Sociales&utm_content=Fans-21_06_19,,Bogota,Colombia,manager_musical,music,https://mercadoartistas.com/,google_maps,"Cra 19 #100-45, Bogotá, Colombia",ChIJTbEOnVGZP44Re1DNf1AP8tg,2026-09-18,pendiente
,4D Musik,info@4dmusik.com,321 2004447,https://wa.me/573212004447,http://www.instagram.com/4DMusik,,Bogota,Colombia,manager_musical,music,http://www.4dmusik.com/,google_maps,"Cl. 145 #12 20, Bogotá, Colombia",ChIJHxh__yeFP44R5d86Ur6wFrA,2026-09-18,pendiente
,Booking & Eventos,contacto@bookingeventos.net,310 2040399,https://wa.me/573102040399,https://www.instagram.com/bookingeventos/,,Bogota,Colombia,manager_musical,music,http://bookingeventos.net/,google_maps,"Cra. 53 #103b-42 Oficina 708, Bogotá, Colombia",ChIJAQC8GbmaP44REzetsYmehi8,2026-09-18,pendiente
,QuieroMusicos,contacto@quieromusicos.com,300 8093404,https://wa.me/573008093404,https://instagram.com/quieromusicos,,Bogota,Colombia,manager_musical,music,http://quieromusicos.com/,google_maps,"Cl. 106 #54 78 OF 604, Suba, Bogotá, Cundinamarca, Colombia",ChIJNTsImcSaP44RHPstBxdDKPw,2026-09-18,pendiente
,Marmaz Records,info@corpmarmaz.com,318 3757495,https://wa.me/573183757495,https://www.instagram.com/corporacionmarmaz/,,Bogota,Colombia,manager_musical,music,http://www.corpmarmaz.com/,google_maps,"Tv. 19a #98-12, Bogotá, Colombia",ChIJiQbuTMSbP44RKwsxiZCSrp8,2026-09-18,pendiente
,Quántica producciones S.A.S,contacto@quanticaproducciones.com,305 4144222,https://wa.me/573054144222,https://www.instagram.com/quanticaproducciones/,,Bogota,Colombia,manager_musical,music,https://www.quanticaproducciones.com/,google_maps,"Cl. 137 #12-15, Bogotá, Colombia",ChIJA6_RIZabP44RtbCbc8KRl14,2026-09-18,pendiente
,tuToque,hola@tutoque.co,301 8079866,https://wa.me/573018079866,https://www.instagram.com/tutoqueco,,Bogota,Colombia,manager_musical,music,http://www.tutoque.com/,google_maps,"Cl. 52b #3C-31, Chapinero, Bogotá, Cundinamarca, Colombia",ChIJt-GbuESbP44RuEqhIjERW1k,2026-09-18,pendiente
,Extraordinary,sales@bookextraordinary.com,(833) 888-1798,,https://www.instagram.com/bookextraordinary,,Miami,United States,manager_musical,music,https://bookextraordinary.com/miami/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing_miami,google_maps,"848 Brickell Ave PH 5-F48, Miami, FL 33131, EE. UU.",ChIJuXM_tzW32YgRiln_hUbiLIM,2026-09-18,pendiente
,Opulence Entertainment Group,events@opulencemia.com,(786) 282-3290,,https://www.instagram.com/opulencemiami/,,Miami,United States,manager_musical,music,https://www.opulencemia.com/,google_maps,"25 SE 2nd Ave Ste 1235, Miami, FL 33131, EE. UU.",ChIJsdohmOq32YgRzRup5HP_8yA,2026-09-18,pendiente
