timestamp,agente,tipo,nombre,empresa,email,nicho,ciudad,asunto,palabras,status,informe
2026-04-22T11:17:34.066627,Mateo,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,,0,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260422_1117.html
2026-04-22T11:17:34.068616,José,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,,0,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260422_1117.html
2026-04-23T12:03:45.699802,Mateo,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,,0,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260423_1203.html
2026-04-23T16:39:00.664704,José,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,,0,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260423_1638.html
2026-04-23T17:05:15.791248,Mateo,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,,0,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260423_1705.html
2026-04-23T18:20:27.013055,Mateo,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,una pregunta rápida,52,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260423_1820.html
2026-04-23T18:20:28.238967,Mateo,PRIMER CONTACTO,,,info@oralflex.com.co,odontologos,Medellin,una pregunta rápida,52,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260423_1820.html
2026-04-23T18:22:02.166476,José,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,una pregunta rápida,53,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260423_1822.html
2026-04-23T18:22:03.324730,José,PRIMER CONTACTO,,,info@oralflex.com.co,odontologos,Medellin,una pregunta rápida,53,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260423_1822.html
2026-04-24T17:02:07.822291,Mateo,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,una pregunta rápida,52,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260424_1702.html
2026-04-24T17:02:09.208931,Mateo,PRIMER CONTACTO,,,info@oralflex.com.co,odontologos,Medellin,una pregunta rápida,52,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260424_1702.html
2026-04-24T17:02:12.760492,José,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,una pregunta rápida,53,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260424_1702.html
2026-04-24T17:02:14.041296,José,PRIMER CONTACTO,,,info@oralflex.com.co,odontologos,Medellin,una pregunta rápida,53,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260424_1702.html
2026-04-24T18:32:07.450481,Mateo,PRIMER CONTACTO,Dr. Andres Ospina,Clinica Dental Ospina,andres.ospina@example.com,odontologos,Medellin,,0,DRY_RUN,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_clinica_dental_ospin_20260424_1832.html
2026-04-25T08:29:34.794512,Mateo,PRIMER CONTACTO,Dr. Andres Ospina,Clinica Dental Ospina,andres.ospina@example.com,odontologos,Medellin,Clínica Dental Ospina — algo que noté,115,DRY_RUN,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_clinica_dental_ospin_20260425_0829.html
2026-04-25T11:39:05.660429,Mateo,PRIMER CONTACTO,Dr. Andres Ospina,Clinica Dental Ospina,andres.ospina@example.com,odontologos,Medellin,"Andrés, algo que encontré sobre tu clínica",121,ERROR,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_clinica_dental_ospin_20260425_1138.html
2026-04-25T11:39:49.791072,Mateo,PRIMER CONTACTO,Dr. Andres Ospina,Clinica Dental Ospina,andres.ospina@example.com,odontologos,Medellin,"Andrés, una pregunta sobre tu clínica en Medellín",106,ENVIADO,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_clinica_dental_ospin_20260425_1139.html
2026-04-25T11:47:17.942307,Mateo,PRIMER CONTACTO,Dr. Andres Ospina,Clinica Dental Ospina,andres.ospina@example.com,odontologos,Medellin,"Andrés, una pregunta sobre tu clínica en Medellín",116,DRY_RUN,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_clinica_dental_ospin_20260425_1147.html
2026-04-27T12:22:48.489860,Mateo,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,algo que noté en losodontologos.com,112,DRY_RUN,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260427_1222.html
2026-04-27T12:23:53.666656,Mateo,PRIMER CONTACTO,,,info@oralflex.com.co,odontologos,Medellin,algo que noté en oralflex.com.co,130,DRY_RUN,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260427_1223.html
2026-04-27T12:24:47.999621,Mateo,PRIMER CONTACTO,,Odontología de Paola Alvarez,paoka57@hotmail.com,odontologos,Medellin,"Paola, vi algo raro en tu Instagram",96,DRY_RUN,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_odontología_de_paola_20260427_1224.html
2026-04-27T12:25:11.259143,Mateo,PRIMER CONTACTO,,,info@losodontologos.com,odontologos,Medellin,algo que noté en losodontologos.com,93,ENVIADO,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260427_1224.html
2026-04-27T12:27:01.663715,Mateo,PRIMER CONTACTO,,,info@oralflex.com.co,odontologos,Medellin,algo que noté en oralflex.com.co,106,ENVIADO,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe__20260427_1226.html
2026-04-27T12:28:51.962601,Mateo,PRIMER CONTACTO,,Odontología de Paola Alvarez,paoka57@hotmail.com,odontologos,Medellin,"Paola, vi algo raro en tu Instagram",113,ENVIADO,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_odontología_de_paola_20260427_1228.html
2026-04-27T12:31:10.665010,Mateo,PRIMER CONTACTO,,Smile Natural Studio | Clínica & Spa Odontológico,smilenaturalstudio@gmail.com,odontologos,Medellin,algo que noté en Smile Natural Studio,102,ENVIADO,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_smile_natural_studio_20260427_1230.html
2026-04-27T12:33:11.414269,Mateo,PRIMER CONTACTO,,Dr. Mauricio Arias - Odontólogo Experto en Medellín English Dentist,info@mauricioariasexperience.com,odontologos,Medellin,algo que noté en la consulta del Dr. Arias,104,ENVIADO,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_dr__mauricio_arias___20260427_1232.html
2026-04-27T12:35:58.589181,Mateo,PRIMER CONTACTO,,Odontologos en Medellin,info@odontologoenmedellin.com,odontologos,Medellin,algo que noté en Odontologos en Medellin,120,ENVIADO,C:\Users\jose-\Downloads\IM-COMPLETO\reports\informe_odontologos_en_medel_20260427_1235.html
