nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status
,Medellin Live Records,,607 29 02 43,,,Medellin,Colombia,sello_musical,music,https://medellin-live-records.jimdosite.com/,google_maps,2026-04-27,pendiente
,YAS Music,,310 8454135,,,Medellin,Colombia,sello_musical,music,,google_maps,2026-04-27,pendiente
,Kapital Music,,(604) 5897070,,,Medellin,Colombia,sello_musical,music,http://kapitalmusic.co/,google_maps,2026-04-27,pendiente
,ARCHIVO MUSICAL,,45125160,,,Medellin,Colombia,sello_musical,music,,google_maps,2026-04-27,pendiente
,Surco Records,surco.records@gmail.com,300 7176995,https://www.instagram.com/surcorecords/,,Medellin,Colombia,sello_musical,music,http://www.surcotienda.co/,google_maps,2026-04-27,pendiente
,"Digital Records, Mucha Calidad Musical",,310 8967621,,,Medellin,Colombia,sello_musical,music,,google_maps,2026-04-27,pendiente
,Latin Music Score | Tienda De Partituras,,304 5396934,https://www.instagram.com/LatinMusicScore,,Medellin,Colombia,sello_musical,music,https://latinmusicscore.com/,google_maps,2026-04-27,pendiente
,La Pascasia,,302 2263809,https://www.instagram.com/lapascasia/,,Medellin,Colombia,sello_musical,music,https://lapascasia.org/,google_maps,2026-04-27,pendiente
,HIT MUSICAL DISCOTIENDA MEDELLIN COLOMBIA,,45115582,,,Medellin,Colombia,sello_musical,music,https://www.facebook.com/HitMusicalDiscotienda,google_maps,2026-04-27,pendiente
,Musicales San José,,300 6144033,,,Medellin,Colombia,sello_musical,music,,google_maps,2026-04-27,pendiente
,ALMACÉN MUSICAL CEDAR,ventas@musicalcedar.com,316 2511989,https://www.instagram.com/musicalcedar/,,Medellin,Colombia,sello_musical,music,http://www.musicalcedar.com/,google_maps,2026-04-27,pendiente
,Pasaje Comercial San José,,315 5865572,https://www.instagram.com/pasaje__sanjose/,,Medellin,Colombia,sello_musical,music,https://pasajesanjose.com.co/,google_maps,2026-04-27,pendiente
,Sellos Medellín,sellosmedellin20@gmail.com,317 2378226,https://www.instagram.com/sellosmedellin/,,Medellin,Colombia,sello_musical,music,http://sellosmedellin.com/,google_maps,2026-04-27,pendiente
,Pasaje Junín Maracaibo,,42312122,https://www.instagram.com/boulevarddejuninoficial/,,Medellin,Colombia,sello_musical,music,https://boulevarddejunin.com/,google_maps,2026-04-27,pendiente
,Fleiva Records,,314 6511034,,,Medellin,Colombia,sello_musical,music,,google_maps,2026-04-27,pendiente
,Musical Cedar,ventas@musicalcedar.com,321 5053147,https://www.instagram.com/musicalcedar/,,Medellin,Colombia,sello_musical,music,http://www.musicalcedar.com/,google_maps,2026-04-27,pendiente
,Cabina Literaria,,300 2351120,https://instagram.com/cabinaliteraria,,Medellin,Colombia,sello_musical,music,http://www.cabinaliteraria.com/,google_maps,2026-04-27,pendiente
,Del Carajo Producciones,,300 3597921,,,Medellin,Colombia,sello_musical,music,https://www.instagram.com/soydelcarajo/,google_maps,2026-04-27,pendiente
,Merlin Producciones,nfo@merlinproducciones.co,(604) 4160860,https://instagram.com/merlinprodu,,Medellin,Colombia,sello_musical,music,http://www.merlinproducciones.co/,google_maps,2026-04-27,pendiente
,Khardona Studios,,323 5121183,,,Medellin,Colombia,sello_musical,music,https://khardona-studios-r.ueniweb.com/?utm_campaign=gmb,google_maps,2026-04-27,pendiente
