nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status
,Seguros Medellín,info@segurosmedellin.com,305 4640343,https://www.instagram.com/segurosmedellincom/,,Medellin,Colombia,seguros,empresas,http://segurosmedellin.com/,google_maps,2026-04-28,pendiente
,Seguros Bolívar,,315 7159706,,,Medellin,Colombia,seguros,empresas,http://www.segurosbolivar.com/,google_maps,2026-04-28,pendiente
,Real Seguros LTDA Agencia de Seguros,,301 5385188,,,Medellin,Colombia,seguros,empresas,https://real-seguros-refresh.vercel.app/servicios,google_maps,2026-04-28,pendiente
,Aseguradora Solidaria de Colombia - Agencia Laureles.,,45205520,https://www.instagram.com/solidariaco/,,Medellin,Colombia,seguros,empresas,http://www.aseguradorasolidaria.com.co/,google_maps,2026-04-28,pendiente
,Piedad Botero Agencia de Seguros,contactenos@piedadbotero.com,321 8128616,,,Medellin,Colombia,seguros,empresas,https://piedadbotero.com/,google_maps,2026-04-28,pendiente
,Aseguradora Solidaria de Colombia - Agencia Medellín Sector Solidario.,,42629788,https://www.instagram.com/solidariaco/,,Medellin,Colombia,seguros,empresas,http://www.aseguradorasolidaria.com.co/,google_maps,2026-04-28,pendiente
,JJ Seguros Ltda - Joyce Vasquez - Agencia de Seguros en Medellín,,310 8403293,,,Medellin,Colombia,seguros,empresas,https://www.facebook.com/jjsegurosltda,google_maps,2026-04-28,pendiente
,SEGUROS DEL ESTADO,,(604) 6045222,https://www.instagram.com/segurosdelestado/,,Medellin,Colombia,seguros,empresas,https://www.segurosdelestado.com/,google_maps,2026-04-28,pendiente
,"Sbs seguros Colombia, Medellín",,01-800-0911360,https://www.instagram.com/sbsseguroscolombia/,,Medellin,Colombia,seguros,empresas,https://www.sbseguros.co/,google_maps,2026-04-28,pendiente
,Unión Agencia de Seguros,dircomercial@segurosunion.com,313 7431807,https://www.instagram.com/unionagenciadeseguros/,,Medellin,Colombia,seguros,empresas,https://www.unionagenciadeseguros.com/,google_maps,2026-04-28,pendiente
,Casegura,info@casegura.com,44440853,https://www.instagram.com/seguros.casegura/,,Medellin,Colombia,seguros,empresas,http://casegura.com/,google_maps,2026-04-28,pendiente
,Aseguradora Solidaria de Colombia - CAV (Centro de Atención a Vehículos) Medellín,,42327575,https://www.instagram.com/solidariaco/,,Medellin,Colombia,seguros,empresas,http://www.aseguradorasolidaria.com.co/,google_maps,2026-04-28,pendiente
,Latinseguros Ltda. - Agencia de Seguros Medellín,,(604) 4442465,,,Medellin,Colombia,seguros,empresas,http://latinseguros.co/,google_maps,2026-04-28,pendiente
,Seguros SURA Colombia,,(601) 4356630,https://www.instagram.com/segurossura/?hl=es-la,,Medellin,Colombia,seguros,empresas,http://www.segurossura.com.co/,google_maps,2026-04-28,pendiente
,Freedom Seguros,,322 6624138,https://www.instagram.com/freedom_seguros/,,Medellin,Colombia,seguros,empresas,https://freedomseguros.com/,google_maps,2026-04-28,pendiente
,Betaseguros,,310 4115650,,,Medellin,Colombia,seguros,empresas,http://www.betaseguros.com.co/,google_maps,2026-04-28,pendiente
,Agencia De Seguros Juan Carlos Alzate Medina Y Cía. Ltda.,cliente@gurusoluciones.com,312 2599447,https://www.instagram.com/comunidad_publicar/,,Medellin,Colombia,seguros,empresas,https://www.paginasamarillas.com.co/empresas/agencia-de-seguros-juan-carlos-alzate-medina/medellin-15539999?ad=80081036,google_maps,2026-04-28,pendiente
,ASESOR SEGUROS SURA,,316 3796979,,,Medellin,Colombia,seguros,empresas,https://www.facebook.com/asesorsura.AlejandroArango,google_maps,2026-04-28,pendiente
,Serficenter Ltda,ayuda@serficenter.com,305 3335454,https://www.instagram.com/serficentercreditosyseguros,,Medellin,Colombia,seguros,empresas,https://www.serficenter.com/,google_maps,2026-04-28,pendiente
,QueSeguro | Comparar y Cotizar Medicina Prepagada y Pólizas de Salud,,(601) 3571122,,,Medellin,Colombia,seguros,empresas,https://queseguro.co/,google_maps,2026-04-28,pendiente
