nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status
,"AR Autos - Importador, Compra y Venta de Autos Alta Gama, Luxury y Deportivos",mercadeo@arautossas.com,316 7039440,,,Medellin,Colombia,autos_alta_gama,empresas,http://www.arautossas.com/,google_maps,2026-04-27,pendiente
,Poblautos,postventa@poblautos.com,300 4086481,https://www.instagram.com/poblautosblindaje/,,Medellin,Colombia,autos_alta_gama,empresas,https://poblautosblindaje.com/,google_maps,2026-04-27,pendiente
,Movicentro,,(604) 4446358,https://www.instagram.com/movicentro/,,Medellin,Colombia,autos_alta_gama,empresas,http://www.movicentro.co/,google_maps,2026-04-27,pendiente
,Autos y Limusinas Luxor,autosylimosinasluxor@gmail.com,305 7063030,https://instagram.com/autosylimusinasluxor,,Medellin,Colombia,autos_alta_gama,empresas,https://www.autosylimusinasluxor.com/,google_maps,2026-04-27,pendiente
,Los Carros,,44480668,,,Medellin,Colombia,autos_alta_gama,empresas,,google_maps,2026-04-27,pendiente
,Makinon Vip Cars,,312 6531056,,,Medellin,Colombia,autos_alta_gama,empresas,https://www.instagram.com/makinon_vipcars/?hl=es,google_maps,2026-04-27,pendiente
,Gama Alta Rent A Car,,44798981,,,Medellin,Colombia,autos_alta_gama,empresas,,google_maps,2026-04-27,pendiente
,A&P Autos y Propiedades,,311 3527590,,,Medellin,Colombia,autos_alta_gama,empresas,https://tarjetainfo.com/autos-y-propiedades,google_maps,2026-04-27,pendiente
,Fz Autos,,305 3093777,,,Medellin,Colombia,autos_alta_gama,empresas,https://fzautos.co/,google_maps,2026-04-27,pendiente
,Somos Mayor,comunicaciones@somosmayor.com,(604) 4446678,https://www.instagram.com/somosmayor/?hl=es,,Medellin,Colombia,autos_alta_gama,empresas,https://www.somosmayor.com/,google_maps,2026-04-27,pendiente
,AutoReel - Centro de servicio automotriz Medellín,,311 3720142,https://www.instagram.com/autoreel_medellin/,,Medellin,Colombia,autos_alta_gama,empresas,http://www.autoreel.co/,google_maps,2026-04-27,pendiente
,Centro Comercial Automotriz,,,,,Medellin,Colombia,autos_alta_gama,empresas,,google_maps,2026-04-27,pendiente
,Autoland Usados Principal,,333 0333745,https://www.instagram.com/autolandcolombia/,,Medellin,Colombia,autos_alta_gama,empresas,https://www.autoland.com.co/usados/,google_maps,2026-04-27,pendiente
,Volkswagen Medellín | Massy Motors,melisa.palacios@massygroup.com,(604) 3547801,https://www.instagram.com/germaniamotors/,,Medellin,Colombia,autos_alta_gama,empresas,https://www.vw-germania.co/,google_maps,2026-04-27,pendiente
,Autoline Medellin,,314 6938341,,,Medellin,Colombia,autos_alta_gama,empresas,https://wa.me/message/TK75RMYUVDUJB1,google_maps,2026-04-27,pendiente
,PABLO VALENCIA VEHICULOS,,310 3569099,,,Medellin,Colombia,autos_alta_gama,empresas,https://www.pablovalenciavehiculos.com/,google_maps,2026-04-27,pendiente
,VEHIMAX,info@vehimax.co,313 7686284,https://instagram.com/vehimax.co,,Medellin,Colombia,autos_alta_gama,empresas,http://www.vehimax.co/,google_maps,2026-04-27,pendiente
,One Million rent a car,,311 7488753,https://www.instagram.com/onemillionrentacar_medellin/,,Medellin,Colombia,autos_alta_gama,empresas,https://onemillionrentacar.com/,google_maps,2026-04-27,pendiente
,Renault Pro+ Medellín Casa Británica - Palacé,,(604) 3227000,https://www.instagram.com/casabritanica/?hl=es,,Medellin,Colombia,autos_alta_gama,empresas,https://casabritanica.com.co/renault-medellin/,google_maps,2026-04-27,pendiente
,Rent a car Medellin - Alquiler de Carros en Medellin,info@rentacarmedellin.co,304 5459999,https://www.instagram.com/rentacarmedellin/,,Medellin,Colombia,autos_alta_gama,empresas,https://rentacarmedellin.co/,google_maps,2026-04-27,pendiente
